YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20171116,1.01,0.85,-0.54,0.004,1.75,0.5,1.29,1.08,0.54
20171117,-0.14,0.75,0.29,0.004,0.05,-0.01,-0.24,-0.27,-0.15
20171120,0.21,0.55,0.02,0.004,0.18,0.17,0.29,-0.48,0.43
20171121,0.68,0.41,-0.33,0.004,0.33,0.52,1.01,0.92,0.59
20171122,-0.05,0.11,-0.06,0.004,0.14,0.08,-0.07,-0.03,-0.22
20171124,0.21,0.02,-0.44,0.004,0.25,0.2,0.36,0.27,0
20171127,-0.06,-0.37,0.01,0.004,0.13,-0.24,-0.07,-0.08,-0.06
20171128,1.06,0.39,0.87,0.004,1.15,0.95,0.41,0.55,1.98
20171129,0.02,0.03,1.46,0.004,0.52,0.08,-1.59,0.22,1.37
20171130,0.82,-0.56,-0.53,0.004,0.78,1.15,0.72,0.64,0.8
20171201,-0.22,-0.36,0.39,0.004,-0.18,-0.24,-0.32,-0.03,-0.2
20171204,-0.1,-0.35,1.24,0.004,0.78,0.08,-1.23,-1.26,0.82
20171205,-0.43,-0.44,-0.22,0.004,-0.34,-0.6,-0.2,-0.28,-0.64
20171206,-0.09,-0.46,-0.53,0.004,0.11,-0.43,0.27,-0.2,-0.28
20171207,0.42,0.26,-0.18,0.004,-0.05,0.53,0.51,0.33,0.52
20171208,0.51,-0.45,-0.12,0.004,0.39,0.42,0.43,1.05,0.54
20171211,0.26,-0.41,-0.17,0.004,0.07,0.22,0.84,0.43,-0.21
20171212,0.07,-0.55,0.52,0.004,-0.12,-0.5,-0.01,0.3,0.62
20171213,0.02,0.72,-0.88,0.004,0.35,0.39,0.04,0.41,-0.61
20171214,-0.47,-0.69,-0.2,0.004,-0.46,-0.46,-0.04,-1.06,-0.69
20171215,0.92,0.68,0.04,0.004,0.89,0.63,1.07,1.16,0.96
20171218,0.67,0.73,0.26,0.004,0.7,0.51,0.82,-0.04,0.8
20171219,-0.3,-0.37,-0.25,0.004,0.08,-0.28,-0.49,-0.19,-0.41
20171220,0.01,0.35,0.07,0.004,-0.12,0.46,-0.1,-0.26,0.01
20171221,0.24,0.27,0.64,0.004,0.04,0.48,0.05,-0.08,0.57
20171222,-0.07,-0.22,-0.21,0.004,-0.06,0.13,-0.11,-0.11,-0.15
20171226,-0.07,0.34,-0.07,0.004,0.38,0.29,-0.54,0.14,-0.16
20171227,0.05,-0.13,-0.2,0.004,-0.03,0,0.02,0.23,0.13
20171228,0.22,0.12,0.04,0.004,0.09,0.32,0.15,0.05,0.37
20171229,-0.57,-0.3,0.01,0.004,-0.51,-0.33,-0.62,-0.79,-0.6
20180102,0.85,0.34,-0.23,0.005,0.51,0.67,1.42,1.48,0.42
20180103,0.59,-0.39,-0.2,0.005,0.31,0.52,0.79,0.91,0.54
20180104,0.42,-0.27,0.25,0.005,0.32,0.34,0.42,-0.11,0.76
20180105,0.66,-0.35,-0.26,0.005,0.74,0.39,0.88,0.62,0.56
20180108,0.19,-0.16,0.05,0.005,0.39,0.58,0.28,-0.46,-0.03
20180109,0.15,-0.34,-0.05,0.005,0.02,-0.21,-0.15,1.06,0.46
20180110,-0.07,0.07,0.59,0.005,-0.28,-0.48,-0.27,0,0.55
20180111,0.87,1.13,0.31,0.005,0.94,1.13,0.76,0.51,0.94
20180112,0.66,-0.3,0.16,0.005,0.85,0.48,0.61,0.56,0.77
20180116,-0.49,-1.03,-0.01,0.005,-0.21,-0.87,-0.62,0,-0.43
20180117,0.95,-0.04,-0.12,0.005,0.65,1.03,1.26,0.87,0.76
20180118,-0.18,-0.5,-0.25,0.005,-0.12,-0.65,0.07,-0.11,-0.14
20180119,0.57,0.94,-0.05,0.005,1.04,0.45,0.32,0.53,0.63
20180122,0.77,-0.33,-0.16,0.005,0.88,0.57,0.8,1.19,0.66
20180123,0.22,0.15,-0.36,0.005,0.5,-0.06,0.42,-0.37,0.27
20180124,-0.13,-0.81,0.42,0.005,0.09,-0.13,-0.6,0.09,0.16
20180125,0.07,0.18,-0.48,0.005,-0.04,0.28,-0.11,1.06,-0.24
20180126,1.11,-0.63,-0.55,0.005,0.99,0.43,1.57,2.17,0.76
20180129,-0.62,-0.01,-0.22,0.005,-0.23,-1.17,-0.8,-0.15,-0.49
20180130,-1.06,0.14,-0.21,0.005,-0.79,-1.02,-0.84,-1.66,-1.27
20180131,-0.07,-0.75,0.1,0.005,-0.33,0.2,0.51,-1.88,0.01
20180201,0.03,0.09,0.55,0.006,-0.98,-0.04,0.07,0.42,0.57
20180202,-2.13,0.05,-0.29,0.006,-1.33,-2.59,-2.47,-1.34,-2.17
20180205,-4.03,0.78,-0.56,0.006,-3.53,-3.83,-3.92,-4.47,-4.4
20180206,1.67,-0.52,-0.2,0.006,1.82,0.94,2.13,1.11,1.72
20180207,-0.37,0.51,0.22,0.006,-0.16,-0.61,-0.85,0.01,0.04
20180208,-3.68,0.83,0.5,0.006,-3.24,-3.09,-3.91,-3.66,-4.06
20180209,1.36,-0.61,0.14,0.006,0.48,1.08,2,1.4,1.43
20180212,1.36,-0.45,-0.28,0.006,1.12,1.54,1.56,0.93,1.33
20180213,0.31,0.06,-0.25,0.006,0.51,0,0.38,0.07,0.44
20180214,1.52,0.26,0.48,0.006,1.02,1.09,1.74,1.4,2
20180215,1.21,-0.13,-0.65,0.006,1.05,1.1,1.78,1.52,0.66
20180216,0.03,0.35,0.16,0.006,-0.13,0.13,-0.2,0.55,0.12
20180220,-0.62,-0.36,-0.23,0.006,-1.4,-0.76,-0.04,-1.1,-0.52
20180221,-0.43,0.77,0.21,0.006,-0.45,-0.86,-0.5,-0.37,-0.09
20180222,0.01,0.06,-0.41,0.006,0.28,0.74,-0.06,-0.19,-0.5
20180223,1.54,-0.36,-0.12,0.006,1.16,1.51,1.91,1.55,1.38
20180226,1.12,-0.49,-0.06,0.006,0.71,0.74,1.36,1.24,1.32
20180227,-1.25,-0.2,0.03,0.006,-1.4,-1.41,-1.22,-1.13,-1.1
20180228,-1.1,-0.41,-0.29,0.006,-0.77,-1.65,-0.69,-1.62,-1.22
20180301,-1.18,1.01,-0.01,0.006,-0.98,-0.76,-1.35,-1.51,-1.29
20180302,0.7,1.16,-0.48,0.006,0.38,0.23,1.03,1.47,0.53
20180305,1.06,-0.38,0.26,0.006,0.98,1.24,0.99,0.93,1.14
20180306,0.36,0.67,0.09,0.006,0.45,0.12,0.41,-0.06,0.62
20180307,0.05,0.79,-0.42,0.006,-0.67,-0.37,0.51,0.58,0.02
20180308,0.37,-0.48,-0.35,0.006,0.37,0.33,0.48,1.05,0.06
20180309,1.7,-0.26,0.28,0.006,1.22,1.59,1.66,1.48,2.26
20180312,-0.09,0.46,-0.07,0.006,0.1,-0.35,0.35,-0.15,-0.41
20180313,-0.67,0.09,0.01,0.006,-0.19,-0.47,-1.14,-0.01,-0.74
20180314,-0.53,0.24,-0.56,0.006,-0.62,-0.58,-0.08,-0.51,-0.92
20180315,-0.18,-0.41,0.31,0.006,-0.43,-0.21,-0.07,-0.4,0.12
20180316,0.25,0.47,0.19,0.006,0.2,0.7,-0.08,0.21,0.31
20180319,-1.38,0.35,0.42,0.006,-1.34,-1.12,-1.87,-1.76,-0.84
20180320,0.15,-0.07,-0.36,0.006,0.32,0.32,-0.15,0.12,0.23
20180321,-0.06,0.75,0.44,0.006,-0.37,0.86,-0.41,-0.08,-0.07
20180322,-2.54,0.51,-0.49,0.006,-1.72,-2.21,-2.41,-2.82,-3.22
20180323,-2.09,0.22,-0.22,0.006,-1.76,-1.16,-2.34,-2.18,-2.52
20180326,2.67,-0.7,0.01,0.006,2.36,2.01,3.37,1.96,2.83
20180327,-1.87,-0.23,0.36,0.006,-1.45,-0.78,-2.87,-1.51,-1.79
20180328,-0.35,0.13,0.66,0.006,-0.1,-0.73,-0.75,0.5,-0.03
20180329,1.41,-0.3,-0.2,0.006,1,1.6,1.82,0.84,1.28
20180402,-2.29,-0.15,0.38,0.007,-2.81,-2.1,-2.32,-2.79,-1.91
20180403,1.24,-0.05,0.17,0.007,1.43,1.53,0.9,1.3,1.32
20180404,1.17,0.32,-0.31,0.007,1.71,0.39,1.38,1.55,1
20180405,0.75,0.02,0.47,0.007,1.1,1.26,0.5,-0.25,0.8
